TV,Radio,Jornal,Vendas,Comissao,Media Comercial
230.1,37.8,69.2,22.1,5.525,112.36666666666666
44.5,39.3,45.1,10.4,2.6,42.96666666666667
17.2,45.9,69.3,12.0,3.0,44.133333333333326
151.5,41.3,58.5,16.5,4.125,83.76666666666667
180.8,10.8,58.4,17.9,4.475,83.33333333333334
8.7,48.9,75.0,7.2,1.8,44.199999999999996
57.5,32.8,23.5,11.8,2.95,37.93333333333333
120.2,19.6,11.6,13.2,3.3,50.46666666666667
8.6,2.1,1.0,4.8,1.2,3.9
199.8,2.6,21.2,15.6,3.9,74.53333333333333
66.1,5.8,24.2,12.6,3.15,32.03333333333333
214.7,24.0,4.0,17.4,4.35,80.89999999999999
23.8,35.1,65.9,9.2,2.3,41.6
97.5,7.6,7.2,13.7,3.425,37.43333333333333
204.1,32.9,46.0,19.0,4.75,94.33333333333333
195.4,47.7,52.9,22.4,5.6,98.66666666666667
67.8,36.6,114.0,12.5,3.125,72.8
281.4,39.6,55.8,24.4,6.1,125.60000000000001
69.2,20.5,18.3,11.3,2.825,36.0
147.3,23.9,19.1,14.6,3.65,63.43333333333334
218.4,27.7,53.4,18.0,4.5,99.83333333333333
237.4,5.1,23.5,17.5,4.375,88.66666666666667
13.2,15.9,49.6,5.6,1.4,26.233333333333334
228.3,16.9,26.2,20.5,5.125,90.46666666666668
62.3,12.6,18.3,9.7,2.425,31.066666666666663
262.9,3.5,19.5,17.0,4.25,95.3
142.9,29.3,12.6,15.0,3.75,61.6
240.1,16.7,22.9,20.9,5.225,93.23333333333333
248.8,27.1,22.9,18.9,4.725,99.60000000000001
70.6,16.0,40.8,10.5,2.625,42.46666666666666
292.9,28.3,43.2,21.4,5.35,121.46666666666665
112.9,17.4,38.6,11.9,2.975,56.300000000000004
97.2,1.5,30.0,13.2,3.3,42.9
265.6,20.0,0.3,17.4,4.35,95.30000000000001
95.7,1.4,7.4,11.9,2.975,34.833333333333336
290.7,4.1,8.5,17.8,4.45,101.10000000000001
266.9,43.8,5.0,25.4,6.35,105.23333333333333
74.7,49.4,45.7,14.7,3.675,56.6
43.1,26.7,35.1,10.1,2.525,34.96666666666667
228.0,37.7,32.0,21.5,5.375,99.23333333333333
202.5,22.3,31.6,16.6,4.15,85.46666666666668
177.0,33.4,38.7,17.1,4.275,83.03333333333335
293.6,27.7,1.8,20.7,5.175,107.7
206.9,8.4,26.4,17.9,4.475,80.56666666666668
25.1,25.7,43.3,8.5,2.125,31.366666666666664
175.1,22.5,31.5,16.1,4.025,76.36666666666666
89.7,9.9,35.7,10.6,2.65,45.1
239.9,41.5,18.5,23.2,5.8,99.96666666666665
227.2,15.8,49.9,19.8,4.95,97.63333333333333
66.9,11.7,36.8,9.7,2.425,38.46666666666667
199.8,3.1,34.6,16.4,4.1,79.16666666666667
100.4,9.6,3.6,10.7,2.675,37.86666666666667
216.4,41.7,39.6,22.6,5.65,99.23333333333335
182.6,46.2,58.7,21.2,5.3,95.83333333333333
262.7,28.8,15.9,20.2,5.05,102.46666666666665
198.9,49.4,60.0,23.7,5.925,102.76666666666667
7.3,28.1,41.4,5.5,1.375,25.599999999999998
136.2,19.2,16.6,13.2,3.3,57.33333333333332
210.8,49.6,37.7,23.8,5.95,99.36666666666667
210.7,29.5,9.3,18.4,4.6,83.16666666666667
53.5,2.0,21.4,8.1,2.025,25.633333333333336
261.3,42.7,54.7,24.2,6.05,119.56666666666666
239.3,15.5,27.3,20.7,5.175,94.03333333333335
102.7,29.6,8.4,14.0,3.5,46.900000000000006
131.1,42.8,28.9,16.0,4.0,67.6
69.0,9.3,0.9,11.3,2.825,26.400000000000002
31.5,24.6,2.2,11.0,2.75,19.433333333333334
139.3,14.5,10.2,13.4,3.35,54.666666666666664
237.4,27.5,11.0,18.9,4.725,91.96666666666665
216.8,43.9,27.2,22.3,5.575,95.96666666666665
199.1,30.6,38.7,18.3,4.575,89.46666666666665
109.8,14.3,31.7,12.4,3.1,51.93333333333333
26.8,33.0,19.3,8.8,2.2,26.366666666666664
129.4,5.7,31.3,11.0,2.75,55.46666666666667
213.4,24.6,13.1,17.0,4.25,83.7
16.9,43.7,89.4,8.7,2.175,50.0
27.5,1.6,20.7,6.9,1.725,16.599999999999998
120.5,28.5,14.2,14.2,3.55,54.4
5.4,29.9,9.4,5.3,1.325,14.899999999999999
116.0,7.7,23.1,11.0,2.75,48.93333333333334
76.4,26.7,22.3,11.8,2.95,41.800000000000004
239.8,4.1,36.9,17.3,4.325,93.60000000000001
75.3,20.3,32.5,11.3,2.825,42.699999999999996
68.4,44.5,35.6,13.6,3.4,49.5
213.5,43.0,33.8,21.7,5.425,96.76666666666667
193.2,18.4,65.7,20.2,5.05,92.43333333333334
76.3,27.5,16.0,12.0,3.0,39.93333333333333
110.7,40.6,63.2,16.0,4.0,71.5
88.3,25.5,73.4,12.9,3.225,62.4
109.8,47.8,51.4,16.7,4.175,69.66666666666667
134.3,4.9,9.3,14.0,3.5,49.50000000000001
28.6,1.5,33.0,7.3,1.825,21.033333333333335
217.7,33.5,59.0,19.4,4.85,103.39999999999999
250.9,36.5,72.3,22.2,5.55,119.89999999999999
107.4,14.0,10.9,11.5,2.875,44.1
163.3,31.6,52.9,16.9,4.225,82.60000000000001
197.6,3.5,5.9,16.7,4.175,69.0
184.9,21.0,22.0,20.5,5.125,75.96666666666667
289.7,42.3,51.2,25.4,6.35,127.73333333333333
135.2,41.7,45.9,17.2,4.3,74.26666666666667
222.4,4.3,49.8,16.7,4.175,92.16666666666667
296.4,36.3,100.9,23.8,5.95,144.53333333333333
280.2,10.1,21.4,19.8,4.95,103.89999999999999
187.9,17.2,17.9,19.7,4.925,74.33333333333333
238.2,34.3,5.3,20.7,5.175,92.60000000000001
